image,x_min,y_min,x_max,y_max,confidence
face_0.jpg,1428.8966064453125,456.98052978515625,1517.0830078125,578.2804565429688,0.8818871974945068
face_1.jpg,1073.887451171875,175.97451782226562,1163.9859619140625,301.0404052734375,0.863427996635437
face_2.jpg,1808.548095703125,298.568359375,1895.655029296875,420.0264587402344,0.8557729125022888
face_3.jpg,2514.316162109375,120.56232452392578,2639.41650390625,288.5487976074219,0.8525059819221497
face_4.jpg,595.4469604492188,190.24807739257812,711.56787109375,349.5353698730469,0.8307116627693176
face_5.jpg,101.95909118652344,362.86669921875,230.97872924804688,514.4884643554688,0.8089234828948975
face_6.jpg,901.1141967773438,236.6632537841797,993.6952514648438,373.6417541503906,0.7708278298377991
face_7.jpg,1548.8778076171875,385.1025085449219,1623.3843994140625,486.51190185546875,0.7638114094734192
face_8.jpg,2108.358154296875,387.7923889160156,2193.035400390625,513.77978515625,0.7391402721405029
face_9.jpg,1952.130126953125,265.3209228515625,2005.4451904296875,339.3638610839844,0.6999661922454834
face_10.jpg,1450.0689697265625,257.77001953125,1482.4052734375,305.60595703125,0.682685136795044
face_11.jpg,1841.0013427734375,512.216796875,1952.1715087890625,632.4635620117188,0.6794060468673706
face_12.jpg,414.1829528808594,991.4855346679688,541.1543579101562,1198.4381103515625,0.5472995638847351
face_13.jpg,1388.17041015625,233.28067016601562,1417.9822998046875,277.9424133300781,0.4920797646045685
face_14.jpg,2281.12939453125,107.2760238647461,2349.302978515625,205.44924926757812,0.4621872007846832
face_15.jpg,1065.833740234375,775.7596435546875,1187.140380859375,908.7269897460938,0.455806702375412
face_16.jpg,1498.9678955078125,223.9253387451172,1530.506103515625,271.0820617675781,0.3846861720085144
face_17.jpg,1387.333740234375,237.5278778076172,1419.466796875,288.27581787109375,0.3192623257637024
face_18.jpg,300.3140563964844,654.2343139648438,419.72613525390625,755.5997924804688,0.26467522978782654
